,alpha,A,BA,P,R,SP,F1,ROC,MCC,RA,RSE,RSP
0,0.0,0.7792207792207793,0.7533333333333333,0.6923076923076923,0.6666666666666666,0.84,0.7554642256678498,0.7533333333333333,0.5112313234371975,0.8636363636363636,0.8421052631578947,1.0
1,0.5,0.7922077922077922,0.7803703703703704,0.6896551724137931,0.7407407407407407,0.82,0.7755102040816326,0.7803703703703704,0.5522164981933888,0.9545454545454546,0.9473684210526315,1.0
2,1.0,0.7662337662337663,0.7518518518518519,0.6551724137931034,0.7037037037037037,0.8,0.7474489795918368,0.751851851851852,0.49604652413672967,0.9090909090909091,0.8947368421052632,1.0
3,1.5,0.7402597402597403,0.7318518518518519,0.6129032258064516,0.7037037037037037,0.76,0.7234195402298851,0.7318518518518519,0.4511777625672017,0.9090909090909091,0.8947368421052632,1.0
4,2.0,0.7662337662337663,0.768888888888889,0.6363636363636364,0.7777777777777778,0.76,0.7542553191489361,0.768888888888889,0.5185449728701349,0.9545454545454546,0.9473684210526315,1.0
5,2.5,0.7532467532467533,0.758888888888889,0.6176470588235294,0.7777777777777778,0.74,0.7421117574475586,0.7588888888888888,0.4975498563492141,1.0,1.0,1.0
6,3.0,0.7272727272727273,0.7474074074074074,0.5789473684210527,0.8148148148148148,0.68,0.7204840103716508,0.7474074074074074,0.4722646907420217,1.0,1.0,1.0
7,3.5,0.7272727272727273,0.7474074074074074,0.5789473684210527,0.8148148148148148,0.68,0.7204840103716508,0.7474074074074074,0.4722646907420217,1.0,1.0,1.0
8,4.0,0.7142857142857143,0.7288888888888889,0.5675675675675675,0.7777777777777778,0.68,0.7059027777777778,0.7288888888888888,0.43721065077734916,1.0,1.0,1.0
9,4.5,0.7402597402597403,0.7488888888888889,0.6,0.7777777777777778,0.72,0.7300140252454418,0.7488888888888888,0.4770278351999552,0.9545454545454546,0.9473684210526315,1.0
10,5.0,0.7402597402597403,0.7659259259259259,0.5897435897435898,0.8518518518518519,0.68,0.7348484848484849,0.7659259259259259,0.507613844240676,1.0,1.0,1.0
11,5.5,0.7142857142857143,0.7544444444444445,0.5581395348837209,0.8888888888888888,0.62,0.7119047619047619,0.7544444444444444,0.4890082279140345,1.0,1.0,1.0
12,6.0,0.7142857142857143,0.7374074074074074,0.5641025641025641,0.8148148148148148,0.66,0.7083333333333333,0.7374074074074073,0.4531761478527484,1.0,1.0,1.0
13,0.0,0.7662337662337663,0.7177777777777778,0.7142857142857143,0.5555555555555556,0.88,0.7275943396226415,0.7177777777777777,0.4666666666666667,0.9375,0.9,1.0
14,0.5,0.7662337662337663,0.7262962962962962,0.6956521739130435,0.5925925925925926,0.86,0.7334615384615384,0.7262962962962962,0.47186039625508397,1.0,1.0,1.0
15,1.0,0.7532467532467533,0.7333333333333334,0.6428571428571429,0.6666666666666666,0.8,0.7313131313131314,0.7333333333333333,0.4629100498862757,1.0,1.0,1.0
16,1.5,0.7402597402597403,0.6977777777777778,0.6521739130434783,0.5555555555555556,0.84,0.7038461538461538,0.6977777777777777,0.4123951744684367,1.0,1.0,1.0
